Catégorie principale;Catégorie;Sous Catégories;Type;Produit;Site La Fourche;Quantité La Fourche;Site Biocoop Champollion;Quantité Biocoop Champollion;Site Biocoop Fontaine;Quantité Biocoop Fontaine;Site Satoriz;Quantité Satoriz;Site GreenWeez;Quantité GreenWeez;Code Elefan;Quantité Elefan;Date MAJ;Proportion;Elefan moins cher mais sans stock;
Boissons;Lait;Tout;Prix bas;Lait vache;https://lafourche.fr/products/la-fourche-lait-demi-ecreme-bio-et-equitable-6x1l-6l;6;https://www.biocoop.fr/lait-demi-ecreme-sterilise-uht-ad6922-000.html;1;https://www.biocoop.fr/lait-demi-ecreme-sterilise-uht-1l-ad6923-000.html;1;https://satoriz-comboire.bio/collections/produits-frais/products/cbvi6916;1;https://www.greenweez.com/produit/lait-sterilise-uht-demi-ecreme-1l/1BTER0554;1;LAIT DEMI-ECREME 1L;1;oct-24;6;;
Boissons;Lait;Tout;1L;Lait vache;https://lafourche.fr/products/la-fourche-lait-demi-ecreme-bio-et-equitable-1l;1;https://www.biocoop.fr/lait-demi-ecreme-sterilise-uht-ad6922-000.html;1;https://www.biocoop.fr/lait-demi-ecreme-sterilise-uht-1l-ad6923-000.html;1;https://satoriz-comboire.bio/collections/produits-frais/products/cbvi6916;1;https://www.greenweez.com/produit/lait-sterilise-uht-demi-ecreme-1l/1BTER0554;1;LAIT DEMI-ECREME 1L;1;oct-24;;;
Boissons;Thé, café et chocolats;Chocolat;Prix bas;Poudre chocolaté;https://lafourche.fr/products/biodyssee-poudre-chocolatee-32-bio-800g;0,8;https://www.biocoop.fr/poudre-cacaotee-pour-le-petit-dejeuner-jk1001-000.html;0,8;https://www.biocoop.fr/poudre-cacaotee-pour-le-petit-dejeuner-jk1001-000.html;0,8;https://satoriz-comboire.bio/collections/epicerie-sucree/products/re47003;0,8;https://www.greenweez.com/produit/preparation-en-poudre-cacao-cool-matin-500g/1VITA0049;0,5;CHOCOLAT EN POUDRE;0,4;;0.2;;
Boissons;Thé, café et chocolats;Chocolat;Prix bas;Cacao pur;https://lafourche.fr/products/biodyssee-poudre-de-cacao-maigre-10-12-mg-250g;0,25;https://www.biocoop.fr/poudre-cacao-pur-250g-jk1000-000.html;0,25;https://www.biocoop.fr/poudre-cacao-pur-250g-jk1000-000.html;0,25;https://satoriz-comboire.bio/collections/epicerie-sucree/products/ma9011;0,25;https://www.greenweez.com/produit/poudre-de-cacao-bio-500g/2WEEZ0158;0,5;CACAO MAIGRE EN POUDRE;0,25;;;;
Boissons;Thé, café et chocolats;Café;Prix bas;Café moulu 100% arabica;https://lafourche.fr/products/la-fourche-cafe-moulu-equilibre-arabica-honduras-bio-equitable-0-5kg;0,5;https://www.biocoop.fr/cafe-arabica-melange-origine-equilibre-250g-mx0055-000.html;0,25;https://www.biocoop.fr/cafe-melange-tresor-des-andes-500g-cp4107-000.html;0,5;https://satoriz-comboire.bio/collections/epicerie-sucree/products/st13500;0,5;https://www.greenweez.com/produit/cafe-moulu-100-arabica-medium-500g/2BIOD0016;0,5;;;;;;
Boissons;Thé, café et chocolats;Café;Prix bas;Café grain 100% arabica;https://lafourche.fr/products/la-fourche-cafe-en-grains-equilibre-arabica-honduras-bio-equitable-1kg;1;https://www.biocoop.fr/cafe-mexique-grains-bio-mx0046-000.html;V;https://www.biocoop.fr/cafe-melange-tresor-peuples-grains-500g-cp4105-000.html;0,5;https://satoriz-comboire.bio/collections/epicerie-sucree/products/dag53;1;https://www.greenweez.com/produit/cafe-en-grains-100-arabica-medium-1kg/2BIOD0010;1;CAFE GRAIN LEKEMPTI VRAC;V;;;CAFE GRAINS VRAC;
Boissons;Thé, café et chocolats;Chicorée;Prix bas;Chicorée en grain;https://lafourche.fr/products/lima-chicoree-bio-500g;0,5;https://www.biocoop.fr/magasin-biocoop_champollion/chicoree-bio-lr5005-000.html;V;https://www.biocoop.fr/chicoree-torrefiee-gout-doux-lr5001-000.html;0,2;https://satoriz-comboire.bio/collections/epicerie-sucree/products/re42658;0,4;https://www.greenweez.com/produit/chicoree-cicoria-original-filtre-500g/1LIMA0071;0,5;;;;;;
Boissons;Thé, café et chocolats;Chicorée;Prix bas;Chicorée soluble;https://lafourche.fr/products/bio-pour-tous-chicoree-torrefiee-soluble-bio-0-2kg;0,2;https://www.biocoop.fr/magasin-biocoop_champollion/chicoree-soluble-200g-lr5007-000.html;0,2;https://www.biocoop.fr/chicoree-instantanee-recharge-180g-pr5353-000.html;0,18;https://satoriz-comboire.bio/collections/epicerie-sucree/products/re41362;0,2;https://www.greenweez.com/produit/chicoree-torrefiee-soluble-bio-200g/1DAGO0034;0,2;;;;;;
Boissons;Thé, café et chocolats;Thé;Prix bas;Thé vert  gun powder;https://lafourche.fr/products/biodyssee-the-vert-gunpowder-de-chine-bio-100g;0,1;https://www.biocoop.fr/the-vert-chine-gunpowder-jg0161-000.html;0,1;https://www.biocoop.fr/the-vert-chine-gunpowder-jg0161-000.html;0,1;https://satoriz-comboire.bio/collections/epicerie-sucree/products/st23518;0,2;https://www.greenweez.com/produit/the-vert-gunpowder-bio-vrac-200g/2WEEZ0431;0,2;;;;;;
Boissons;Thé, café et chocolats;Thé;Prix bas;The vert sencha;https://lafourche.fr/products/biodyssee-the-vert-sencha-de-chine-bio-100g;0,1;https://www.biocoop.fr/the-vert-chine-sencha-zhejiang-bio-jg0679-000.html;V;https://www.biocoop.fr/the-vert-chine-sencha-zhejiang-bio-jg0679-000.html;V;https://satoriz-comboire.bio/collections/epicerie-sucree/products/st23515;0,2;https://www.greenweez.com/produit/the-vert-sencha-origine-chine-200g/1DEST0533;0,2;;;;;;
