Catégorie principale;Catégorie;Sous Catégories;Type;Produit;Site La Fourche;Quantité La Fourche;Site Biocoop Champollion;Quantité Biocoop Champollion;Site Biocoop Fontaine;Quantité Biocoop Fontaine;Site Satoriz;Quantité Satoriz;Site GreenWeez;Quantité GreenWeez;Code Elefan;Quantité Elefan;Date MAJ;Proportion;Elefan moins cher mais sans stock;
Epicerie salée;Condiments;Olives;Prix bas;Olives vertes dénoyautées;https://lafourche.fr/products/nefeli-olives-vertes-denoyautees-bio-0-98kg;0,52;https://www.biocoop.fr/olive-verte-denoyautee-370g-net-egoutte-oi5066-000.html;0,37;https://www.biocoop.fr/olive-noire-denoyautee-370g-net-egoutte-oi5060-000.html;0,37;https://satoriz-comboire.bio/products/igovsd01;0,15;https://www.greenweez.com/produit/olives-vertes-denoyautees-au-naturel-bio-de-grece-160g/2WEEZ0541;0,16;OLIVES VERTES DENOYAUTEES - ESPAGNE;0,35;oct-24;;;
Epicerie salée;Condiments;Olives;160gEQ;Olives vertes dénoyautées;https://lafourche.fr/products/la-fourche-olives-vertes-denoyautees-0-16kg;0,16;https://www.biocoop.fr/olives-vertes-denoyautees-150g-net-egoutte-oi5056-000.html;0,15;https://www.biocoop.fr/olives-vertes-denoyautees-150g-net-egoutte-oi5056-000.html;0,15;https://satoriz-comboire.bio/products/igovsd01;0,15;https://www.greenweez.com/produit/olives-vertes-denoyautees-au-naturel-bio-de-grece-160g/2WEEZ0541;0,16;;;oct-24;;;
Epicerie salée;Condiments;Olives;Prix bas;Olives noires dénoyautées;https://lafourche.fr/products/nefeli-olives-kalamata-denoyautes-bio-0-97kg;0,58;https://www.biocoop.fr/olive-noire-denoyautee-370g-net-egoutte-oi5060-000.html;0,37;https://www.biocoop.fr/olive-noire-denoyautee-370g-net-egoutte-oi5060-000.html;0,37;https://satoriz-comboire.bio/products/igondevo02;0,19;https://www.greenweez.com/produit/olives-noires-kalamata-denoyautees-bio-de-grece-160g/2WEEZ0540;0,16;;;oct-24;;;
Epicerie salée;Condiments;Olives;160gEQ;Olives noires dénoyautées;https://lafourche.fr/products/la-fourche-olives-kalamata-denoyautees-0-16kg;0,16;https://www.biocoop.fr/olive-noire-denoyautee-150g-net-egoutte-oi5079-000.html;0,15;https://www.biocoop.fr/olive-noire-denoyautee-150g-net-egoutte-oi5079-000.html;0,15;https://satoriz-comboire.bio/products/igondevo02;0,19;https://www.greenweez.com/produit/olives-noires-kalamata-denoyautees-bio-de-grece-160g/2WEEZ0540;0,16;;;oct-24;;;
Epicerie salée;Condiments;Poivre et sel;Prix bas;Poivre noir moulu;https://lafourche.fr/products/biodyssee-poivre-noir-moulu-bio-0-5kg;0,5;https://www.biocoop.fr/poivre-noir-moulu-45g-ck1425-000.html;0,045;https://www.biocoop.fr/poivre-noir-poudre-bio-ck2103-000.html;V;https://satoriz-comboire.bio/products/coponpse;0,15;https://www.greenweez.com/produit/poivre-noir-moulu-220g/1COOK0090;0,15;POIVRE NOIR POUDRE VRAC;V;oct-24;0.02;;
Epicerie salée;Condiments;Poivre et sel;40gEQ;Poivre noir moulu;https://lafourche.fr/products/biodyssee-poivre-noir-moulu-bio-0-04kg;0,04;https://www.biocoop.fr/poivre-noir-moulu-45g-ck1425-000.html;0,045;https://www.biocoop.fr/poivre-noir-poudre-bio-ck2103-000.html;V;https://satoriz-comboire.bio/products/copoivre;0,045;https://www.greenweez.com/produit/poivre-noir-moulu-40g/2BIOD0061;0,04;;;oct-24;;;
Epicerie salée;Condiments;Poivre et sel;Prix bas;Poivre noir en grain;https://lafourche.fr/products/la-fourche-poivre-noir-en-grains-bio-0-5kg;0,5;https://www.biocoop.fr/poivre-noir-grains-150g-ck2145-000.html;0,15;https://www.biocoop.fr/poivre-noir-en-grains-50g-ck0912-000.html;0,05;https://satoriz-comboire.bio/products/copovngrec;0,5;https://www.greenweez.com/produit/poivre-noir-en-grains-bio-200g/2WEEZ0164;0,2;POIVRE NOIR GRAIN;;oct-24;;;
Epicerie salée;Condiments;Poivre et sel;50g;Poivre noir en grain;https://lafourche.fr/products/cook-ecorecharge-poivre-noir-en-grains-bio-0-05kg;0,05;https://www.biocoop.fr/poivre-noir-en-grains-50g-ck0912-000.html;0,05;https://www.biocoop.fr/poivre-noir-en-grains-50g-ck0912-000.html;0,05;https://satoriz-comboire.bio/products/copovngrer?_pos=3&_sid=2e3588fdf&_ss=r;0,05;https://www.greenweez.com/produit/poivre-noir-grains-bio-cook-50-g/1COOK0044;0,05;;;oct-24;;;
Epicerie salée;Condiments;Poivre et sel;Prix bas;Poivre blanc grain;https://lafourche.fr/products/cook-poivre-blanc-en-grains-bio-0-05kg;0,05;https://www.biocoop.fr/poivre-blanc-moulin-50g-sm0364-000.html;0,05;https://www.biocoop.fr/poivre-blanc-moulin-50g-sm0364-000.html;0,05;https://satoriz-comboire.bio/products/copobgc;0,05;https://www.greenweez.com/produit/poivre-blanc-entier-moulin-rechargeable-50g/2BIOD0036;0,05;;;;;;
Epicerie salée;Condiments;Poivre et sel;Prix bas;Poivre mélange 3 baies;https://lafourche.fr/products/cook-melange-3-baies-bio-45g;0,045;https://www.biocoop.fr/poivre-melange-3-baies-45g-ck1224-000.html;0,045;https://www.biocoop.fr/poivre-melange-3-baies-45g-ck1224-000.html;0,045;https://satoriz-comboire.bio/products/co3b;0,045;https://www.greenweez.com/produit/melange-de-poivres-50g/1LEBE0023;0,05;;;;;;
Epicerie salée;Condiments;Poivre et sel;Prix bas;Baie de Genièvre;https://lafourche.fr/products/cook-baies-de-genievre-bio-0-025kg;0,025;https://www.biocoop.fr/baies-de-genievre-25g-ck1210-000.html;0,025;https://www.biocoop.fr/baies-de-genievre-25g-ck1210-000.html;0,025;https://satoriz-comboire.bio/products/cogen;0,025;https://www.greenweez.com/produit/genievre-baies-bio-50g/1LACA0017;0,05;;;;;;
Epicerie salée;Condiments;Poivre et sel;Prix bas;Gros sel;https://lafourche.fr/products/danival-sel-gros-atlantique-1kg;1;https://www.biocoop.fr/gros-sel-de-guerande-gu0133-000.html;1;https://www.biocoop.fr/gros-sel-de-guerande-gu0133-000.html;1;https://satoriz-comboire.bio/collections/epicerie-salee/products/da0052;1;https://www.greenweez.com/produit/sel-gros-de-latlantique-1kg/1DANI0333;1,81;SEL GROS VRAC;V;;;;
Epicerie salée;Condiments;Poivre et sel;Prix bas;Sel fin;https://lafourche.fr/products/danival-sel-fin-atlantique-1kg;1;https://www.biocoop.fr/sel-fin-de-guerande-gu0105-000.html;0,5;https://www.biocoop.fr/sel-fin-de-guerande-gu0105-000.html;0,5;https://satoriz-comboire.bio/collections/epicerie-salee/products/da0021;1;https://www.greenweez.com/produit/sel-fin-de-guerande-500g/1LEGU0004;0,5;SEL FIN - BOITE 250 G;0,25;;;;
Epicerie salée;Huiles et vinaigres;Huile;Prix bas;Huile d'olive;https://lafourche.fr/products/la-fourche-huile-d-olive-vierge-extra-origine-espagne-tunisie-bio-3l;3;https://www.biocoop.fr/huile-d-olive-1l-co7008-000.html;1;https://www.biocoop.fr/huile-d-olive-1l-co7008-000.html;1;https://satoriz-comboire.bio/collections/epicerie-salee/products/jbh;1;https://www.greenweez.com/produit/huile-dolive-vierge-extra-bio-3l/2WEEZ0211;3;HUILE D OLIVE BIO CRETE-GRECE 1L;1;oct-24;0.5;HUILE D OLIVE LUCE BIO;
Epicerie salée;Huiles et vinaigres;Huile;1L;Huile d'olive;https://lafourche.fr/products/la-fourche-huile-d-olive-vierge-extra-origine-espagne-tunisie-bio-1l;1;https://www.biocoop.fr/huile-d-olive-1l-co7008-000.html;1;https://www.biocoop.fr/huile-d-olive-1l-co7008-000.html;1;https://satoriz-comboire.bio/collections/epicerie-salee/products/jbh;1;https://www.greenweez.com/produit/huile-dolive-vierge-extra-bio-1l/2WEEZ0210;1;;;oct-24;;;
Epicerie salée;Huiles et vinaigres;Huile;Prix bas;Huile de tournesol;https://lafourche.fr/products/la-fourche-huile-de-tournesol-vierge-origine-france-bio-3l;3;https://www.biocoop.fr/huile-de-tournesol-france-1l-mg1154-000.html;1;https://www.biocoop.fr/huile-de-tournesol-france-1l-mg1154-000.html;1;https://satoriz-comboire.bio/collections/epicerie-salee/products/re38671;1;https://www.greenweez.com/produit/huile-de-tournesol-vierge-france-bio-1l/2WEEZ0241;1;HUILE DE CUISSON DESODORISEE TOURNESOL;;oct-24;0.5;;
Epicerie salée;Huiles et vinaigres;Huile;1L;Huile de tournesol;https://lafourche.fr/products/la-fourche-huile-de-tournesol-vierge-origine-france-bio-1l-codefa;1;https://www.biocoop.fr/huile-de-tournesol-france-1l-mg1154-000.html;1;https://www.biocoop.fr/huile-de-tournesol-france-1l-mg1154-000.html;1;https://satoriz-comboire.bio/collections/epicerie-salee/products/re38671;1;https://www.greenweez.com/produit/huile-de-tournesol-vierge-france-bio-1l/2WEEZ0241;1;;;oct-24;;;
Epicerie salée;Huiles et vinaigres;Huile;Prix bas;Huile de colza;https://lafourche.fr/products/la-fourche-huile-de-colza-vierge-origine-france-bio-3l;3;https://www.biocoop.fr/huile-colza-1l-co7002-000.html;1;https://www.biocoop.fr/huile-colza-1l-co7002-000.html;1;https://satoriz-comboire.bio/collections/epicerie-salee/products/re42186;1;https://www.greenweez.com/produit/huile-de-colza-vierge-bio-1l/2WEEZ0242;1;HUILE DE COLZA VITAL 0.75L;0,75;oct-24;;;
Epicerie salée;Huiles et vinaigres;Huile;1L;Huile de colza;https://lafourche.fr/products/la-fourche-huile-de-colza-vierge-origine-france-bio-1l;1;https://www.biocoop.fr/huile-colza-1l-co7002-000.html;1;https://www.biocoop.fr/huile-colza-1l-co7002-000.html;1;https://satoriz-comboire.bio/collections/epicerie-salee/products/re42186;1;https://www.greenweez.com/produit/huile-de-colza-vierge-bio-1l/2WEEZ0242;1;;;oct-24;;;
Epicerie salée;Huiles et vinaigres;Huile;Prix bas;Huile de coco;https://lafourche.fr/products/la-fourche-huile-de-coco-desodorisee-bio-et-equitable-1l;1;https://www.biocoop.fr/huile-de-coco-desodorisee-950ml-mg1141-000.html;0,95;https://www.biocoop.fr/huile-de-coco-desodorisee-950ml-mg1141-000.html;0,95;https://satoriz-comboire.bio/collections/epicerie-salee/products/pr1424;1;https://www.greenweez.com/produit/huile-de-coco-du-sri-lanka-1l/1BASE0016;1;HUILE DE COCO VIERGE 500ML;0,5;;;;
Epicerie salée;Huiles et vinaigres;Huile;Prix bas;Vinaigrette tonique;;;https://www.biocoop.fr/vinaigrette-curcuma-gingembre-citron-36cl-bq0007-000.html;0,36;https://www.biocoop.fr/vinaigrette-curcuma-gingembre-citron-36cl-bq0007-000.html;0,36;https://satoriz-comboire.bio/products/re21497;0,36;https://www.greenweez.com/produit/vinaigrette-assaisonnette-la-tonique-36cl/3QUIN0011;0,36;;;;;;
Epicerie salée;Huiles et vinaigres;Vinaigre;Prix bas;Vinaigre de cidre;https://lafourche.fr/products/la-fourche-vinaigre-de-cidre-bio-1l;1;https://www.biocoop.fr/vinaigre-de-cidre-75cl-cn0222-000.html;0,75;https://www.biocoop.fr/vinaigre-de-cidre-75cl-cn0222-000.html;0,75;https://satoriz-comboire.bio/collections/epicerie-salee/products/re38988;0,75;https://www.greenweez.com/produit/vinaigre-de-cidre-bio-75cl/2WEEZ0409;0,75;VINAIGRE DE CIDRE 5% POMME - FRANCE;;;0.2;;
Epicerie salée;Huiles et vinaigres;Vinaigre;Prix bas;Vinaigre basalmique;https://lafourche.fr/products/la-fourche-vinaigre-balsamique-de-modene-bio-1l;1;https://www.biocoop.fr/vinaigre-balsamique-de-modene-50cl-po2022-000.html;0,5;https://www.biocoop.fr/vinaigre-balsamique-de-modene-50cl-po2022-000.html;0,5;https://satoriz-comboire.bio/collections/epicerie-salee/products/re38990;0,75;https://www.greenweez.com/produit/vinaigre-balsamique-de-modene-bio-50cl/2WEEZ0408;0,5;VINAIGRE BALSAMIQUE VRAC;V;;;;
Epicerie salée;Huiles et vinaigres;Vinaigre;Prix bas;Vinaigre alimentaire blanc;https://lafourche.fr/products/laselva-vinaigre-balsamique-blanc-500ml-bio;0,5;;;;;https://satoriz-comboire.bio/collections/epicerie-salee/products/sd09327118331;0,5;https://www.greenweez.com/produit/vinaigre-balsamique-blanc-500ml/1SELV0040;0,5;VINAIGRE DE VIN BLANC;;;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Petit épeautre;https://lafourche.fr/products/la-fourche-petit-epeautre-bio-en-vrac-1kg;1;https://www.biocoop.fr/petit-epeautre-decortique-500g-br0273-000.html;0,5;https://www.biocoop.fr/petit-epeautre-decortique-500g-br0273-000.html;0,5;https://satoriz-comboire.bio/collections/vrac/products/re42050;V;https://www.greenweez.com/produit/petit-epeautre-500g/1MKAL0113;0,5;PETIT EPEAUTRE VRAC;V;;0.5;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Sarrazin décortiqué;https://lafourche.fr/products/la-fourche-graines-tournesol-bio-en-vrac-1kg;1;https://www.biocoop.fr/sarrasin-decortique-bio-ra6027-000.html;V;https://www.biocoop.fr/sarrasin-decortique-bio-ra6027-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/eco759;V;https://www.greenweez.com/produit/sarrasin-bio-2-5kg/2WEEZ0529;2,5;GRAINE DE SARRASIN DECORTIQUEE VRAC;V;oct-24;0.5;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;1kgEQ;Sarrazin décortiqué;https://lafourche.fr/products/la-fourche-graines-tournesol-bio-en-vrac-1kg;1;https://www.biocoop.fr/sarrasin-decortique-bio-ra6027-000.html;V;https://www.biocoop.fr/sarrasin-decortique-bio-ra6027-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/eco759;V;https://www.greenweez.com/produit/sarrasin-bio-500g/2WEEZ0116;0,5;GRAINE DE SARRASIN DECORTIQUEE VRAC;V;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Quinoa Blanc;https://lafourche.fr/products/solid-food-1kg-de-quinoa-blanc-en-vrac-bio;1;https://www.biocoop.fr/quinoa-france-bio-br0263-000.html;V;https://www.biocoop.fr/quinoa-france-bio-br0263-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/bg1;V;https://www.greenweez.com/produit/quinoa-real-blanc-1kg/1MKAL0120;1;QUINOA BLANC D ANJOU VRAC;V;;0.5;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Quinoa 3 couleurs;https://lafourche.fr/products/la-fourche-quinoa-tricolore-bio-en-vrac-1kg;1;https://www.biocoop.fr/quinoa-real-bolivie-3-couleurs-bio-sm0366-000.html;V;https://www.biocoop.fr/quinoa-real-bolivie-3-couleurs-bio-sm0366-000.html;V;https://satoriz-comboire.bio/products/eu7921;V;https://www.greenweez.com/produit/quinoa-tricolore-bio-500g/2WEEZ0157;0,5;;;;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Boulghour;https://lafourche.fr/products/la-fourche-1kg-de-boulgour-gros-bio-en-vrac;1;https://www.biocoop.fr/boulgour-ble-gros-france-1kg-ma8005-000.html;1;https://www.biocoop.fr/boulgour-ble-gros-france-1kg-ma8005-000.html;1;https://satoriz-comboire.bio/collections/vrac/products/ma11050;V;https://www.greenweez.com/produit/boulgour-traditionnel-bio-2-5kg/2WEEZ0215;2,5;BOULGOUR VRAC;V;oct-24;0.2;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;1kgEQ;Boulghour;https://lafourche.fr/products/la-fourche-1kg-de-boulgour-gros-bio-en-vrac;1;https://www.biocoop.fr/boulgour-ble-gros-france-1kg-ma8005-000.html;1;https://www.biocoop.fr/boulgour-ble-gros-france-1kg-ma8005-000.html;1;https://satoriz-comboire.bio/collections/vrac/products/ma11050;V;https://www.greenweez.com/produit/boulgour-traditionnel-500-g/1PRIM0085;0,5;BOULGOUR VRAC;V;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Millet;https://lafourche.fr/products/la-fourche-1kg-de-graines-de-millet-bio-en-vrac;1;https://www.biocoop.fr/millet-decortique-bio-md1001-000.html;V;https://www.biocoop.fr/millet-decortique-france-500g-al8046-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/re39809;V;https://www.greenweez.com/produit/millet-bio-2-5kg/2WEEZ0528;2,5;;;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;1kg;Millet;https://lafourche.fr/products/la-fourche-1kg-de-graines-de-millet-bio-en-vrac;1;https://www.biocoop.fr/millet-decortique-bio-md1001-000.html;V;https://www.biocoop.fr/millet-decortique-france-500g-al8046-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/re39809;V;https://www.greenweez.com/produit/millet-decortique-1kg/1MKAL0092;1;;;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Couscous complet;https://lafourche.fr/products/la-fourche-1kg-de-couscous-complet-bio-en-vrac;1;https://www.biocoop.fr/couscous-ble-dur-complet-bio-bi9030-000.html;V;https://www.biocoop.fr/couscous-ble-dur-complet-500g-bi9019-000.html;0,5;https://satoriz-comboire.bio/collections/vrac/products/re40833;V;https://www.greenweez.com/produit/couscous-complet-bio-2-5kg/2WEEZ0216;2,5;COUSCOUS DEMI-COMPLET SACHET;0,5;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;1kgEQ;Couscous complet;https://lafourche.fr/products/la-fourche-1kg-de-couscous-complet-bio-en-vrac;1;https://www.biocoop.fr/couscous-ble-dur-complet-bio-bi9030-000.html;V;https://www.biocoop.fr/couscous-ble-dur-complet-500g-bi9019-000.html;0,5;https://satoriz-comboire.bio/collections/vrac/products/re40833;V;https://www.greenweez.com/produit/couscous-complet-bio-500g/2WEEZ0219;0,5;COUSCOUS DEMI-COMPLET SACHET;0,5;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Blé tendre;https://lafourche.fr/products/la-fourche-ble-tendre-complet-bio-en-vrac-1kg;1;;;;;https://satoriz-comboire.bio/products/eco608;V;https://www.greenweez.com/produit/ble-tendre-complet-500g/1MKAL0007;0,5;;;;;;
Epicerie salée;Pates, riz, graines et céréales;Céréales;Prix bas;Polenta;https://lafourche.fr/products/la-fourche-polenta-bio-en-vrac-1kg;1;https://www.biocoop.fr/semoule-de-mais-instantanee-polenta-bio-ma8079-000.html;V;https://www.biocoop.fr/semoule-de-mais-instantanee-polenta-bio-ma8079-000.html;V;https://satoriz-comboire.bio/products/ma71051;V;https://www.greenweez.com/produit/semoule-mais-fine-1kg/1MKAL0272;1;POLENTA VRAC;V;;;;
Epicerie salée;Pates, riz, graines et céréales;Graines;Prix bas;Graines de tournesol;https://lafourche.fr/products/la-fourche-500g-de-graines-de-tournesol-en-vrac-bio;0,5;https://www.biocoop.fr/tournesol-decortique-bio-al8034-000.html;V;https://www.biocoop.fr/tournesol-decortique-250g-al8033-000.html;0,25;https://satoriz-comboire.bio/products/senfgtv;V;https://www.greenweez.com/produit/graines-de-tournesol-decortiquees-bio-500g/2WEEZ0020;0,5;TOURNESOL DECORTIQUE VRAC;V;;0.1;;
Epicerie salée;Pates, riz, graines et céréales;Graines;Prix bas;Graines de lin brun;https://lafourche.fr/products/la-fourche-500g-de-graines-de-lin-bio-en-vrac;0,5;https://www.biocoop.fr/graine-de-lin-brun-bio-br0236-000.html;V;https://www.biocoop.fr/graine-de-lin-brun-bio-br0236-000.html;V;https://satoriz-comboire.bio/products/re39808;V;https://www.greenweez.com/produit/graines-de-lin-brun-bio-500g/2WEEZ0019;0,5;LIN BRUN;;;;;
Epicerie salée;Pates, riz, graines et céréales;Graines;Prix bas;Graines de sésame;https://lafourche.fr/products/la-fourche-500g-de-graines-de-sesames-bio-en-vrac;0,5;;;;;https://satoriz-comboire.bio/products/eu203;V;https://www.greenweez.com/produit/sesame-complet-bio-500g/2WEEZ0028;0,5;SESAME NON DECORTIQUE VRAC;V;;;;
Epicerie salée;Pates, riz, graines et céréales;Graines;Prix bas;Graines de chia;https://lafourche.fr/products/la-fourche-500g-de-graines-de-chia-bio-en-vrac;0,5;https://www.biocoop.fr/graine-de-chia-noire-france-bio-qu1028-000.html;V;https://www.biocoop.fr/graine-de-chia-noire-france-bio-qu1028-000.html;V;https://satoriz-comboire.bio/products/bofchia;V;https://www.greenweez.com/produit/graines-de-chia-bio-500g/2WEEZ0337;0,5;GRAINE DE CHIA VRAC;V;;;;
Epicerie salée;Pates, riz, graines et céréales;Graines;Prix bas;Graines de courge;https://lafourche.fr/products/la-fourche-500g-de-graines-de-courge-en-vrac-bio;0,5;https://www.biocoop.fr/graine-de-courge-france-250g-al8045-000.html;0,25;https://www.biocoop.fr/graine-de-courge-france-250g-al8045-000.html;0,25;https://satoriz-comboire.bio/products/ec008;V;https://www.greenweez.com/produit/graines-de-courge-bio-500g/2WEEZ0530;0,5;GRAINE DE COURGE VRAC;V;;;;
Epicerie salée;Pates, riz, graines et céréales;Graines;Prix bas;Pignon de cèdre;https://lafourche.fr/products/la-fourche-250g-de-pignons-de-cedre-en-vrac-bio;0,25;;;;;https://satoriz-comboire.bio/products/bof3007;V;https://www.greenweez.com/produit/pignons-de-cedre-500g/2WEEZ0403;0,5;;;;;;
Epicerie salée;Pates, riz, graines et céréales;Graines;Prix bas;Pignon de pin;https://lafourche.fr/products/la-fourche-pignons-de-pin-bio-0-25kg;0,25;;;;;https://satoriz-comboire.bio/products/ag639;0,125;https://www.greenweez.com/produit/pignons-de-pin-bio-125g/1DPFS0044;0,125;;;;;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;Prix bas;Pois chiche;https://lafourche.fr/products/la-fourche-1kg-de-pois-chiches-en-vrac-bio;1;https://www.biocoop.fr/pois-chiches-bio-al8031-000.html;V;https://www.biocoop.fr/pois-chiches-bio-al8031-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/re40037;V;https://www.greenweez.com/produit/pois-chiches-bio-2-5kg/2WEEZ0213;2,5;POIS CHICHE VRAC;V;oct-24;0.2;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;1kgEQ;Pois chiche;https://lafourche.fr/products/la-fourche-1kg-de-pois-chiches-en-vrac-bio;1;https://www.biocoop.fr/pois-chiches-bio-al8031-000.html;V;https://www.biocoop.fr/pois-chiches-bio-al8031-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/re40037;V;https://www.greenweez.com/produit/pois-chiche-bio-500g/2WEEZ0119;0,5;POIS CHICHE VRAC;V;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;Prix bas;Lentille corail ;https://lafourche.fr/products/la-fourche-1kg-de-lentilles-corail-bio-en-vrac;1;https://www.biocoop.fr/lentilles-corail-500g-al8038-000.html;0,5;https://www.biocoop.fr/lentilles-corail-500g-al8038-000.html;0,5;https://satoriz-comboire.bio/collections/vrac/products/eu1380;V;https://www.greenweez.com/produit/lentilles-corail-3kg/5GREE0154;3;LENTILLE CORAIL ROUGE VRAC;V;oct-24;0.5;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;500g;Lentille corail ;https://lafourche.fr/products/celnat-lentilles-corail-500g-bio;0,5;https://www.biocoop.fr/lentilles-corail-500g-al8038-000.html;0,5;https://www.biocoop.fr/lentilles-corail-500g-al8038-000.html;0,5;https://satoriz-comboire.bio/collections/vrac/products/eu1380;V;https://www.greenweez.com/produit/lentilles-corail-bio-500g/2WEEZ0222;0,5;LENTILLE CORAIL ROUGE VRAC;V;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;Prix bas;Pois cassés;https://lafourche.fr/products/la-fourche-1kg-de-pois-casses-bio-en-vrac;1;https://www.biocoop.fr/pois-casses-france-cuisson-rapide-250g-sa1122-000.html;0,25;https://www.biocoop.fr/pois-casses-france-500g-al8048-000.html;0,5;https://satoriz-comboire.bio/collections/vrac/products/eu1363;V;https://www.greenweez.com/produit/pois-casses-verts-3kg/5GREE0169;3;POIS VERT CASSE VRAC;V;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;500g;Pois cassés;https://lafourche.fr/products/celnat-pois-casses-verts-500g-bio;0,5;https://www.biocoop.fr/pois-casses-france-500g-al8048-000.html;0,5;https://www.biocoop.fr/pois-casses-france-500g-al8048-000.html;0,5;https://satoriz-comboire.bio/collections/vrac/products/eu1363;V;https://www.greenweez.com/produit/pois-casses-verts-500g-1/5GREE0167;0,5;POIS VERT CASSE VRAC;V;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;Prix bas;Lentille verte;https://lafourche.fr/products/la-fourche-1kg-de-lentilles-vertes-bio-en-vrac;1;https://www.biocoop.fr/lentilles-vertes-bio-br0278-000.html;V;https://www.biocoop.fr/lentilles-vertes-bio-br0278-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/re39341;V;https://www.greenweez.com/produit/lentilles-vertes-bio-france-2-5kg/2WEEZ0296;2,5;LENTILLE VERTE VRAC;V;oct-24;0.5;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;1kg;Lentille verte;https://lafourche.fr/products/la-fourche-1kg-de-lentilles-vertes-bio-en-vrac;1;https://www.biocoop.fr/lentilles-vertes-bio-br0278-000.html;V;https://www.biocoop.fr/lentilles-vertes-bio-br0278-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/re39341;V;https://www.greenweez.com/produit/lentilles-vertes-de-1kg/1PRIM0090;1;LENTILLE VERTE VRAC;V;oct-24;;;
Epicerie salée;Pates, riz, graines et céréales;Légumineuse;Prix bas;Mogette;https://lafourche.fr/products/celnat-haricots-blancs-lingots-de-vendee-500g;0,5;https://www.biocoop.fr/haricots-blancs-lingots-500g-fc1002-000.html;0,5;https://www.biocoop.fr/haricots-blancs-lingots-bio-al8036-000.html;V;https://satoriz-comboire.bio/products/ra1;1;https://www.greenweez.com/produit/haricots-lingots-blancs-de-france-500g/1PRIM0098;0,5;;;;;;
Epicerie salée;Pates, riz, graines et céréales;Pates;Prix bas;Penne blanche;https://lafourche.fr/products/la-fourche-penne-blanches-bio-en-vrac-1kg;1;https://www.biocoop.fr/penne-blanches-1kg-al0112-000.html;1;https://www.biocoop.fr/penne-blanches-1kg-al0112-000.html;1;https://satoriz-comboire.bio/products/re44775;1;https://www.greenweez.com/produit/pennes-blancs-500g-1/1MKAL0109;0,5;;;nov-24;;;
Epicerie salée;Pates, riz, graines et céréales;Pates;Prix bas;Penne demi complète;https://lafourche.fr/products/bio-pour-tous-penne-demi-completes-bio-500g;0,5;https://www.biocoop.fr/penne-1-2-complet-bio-la0230-000.html;V;https://www.biocoop.fr/penne-demi-completes-500g-al0073-000.html;0,5;https://satoriz-comboire.bio/products/re39045;0,5;https://www.greenweez.com/produit/penne-bio-semi-complete-500g/2WEEZ0490;0,5;PENNE 1/2 COMPLET VRAC;V;nov-24;;;
Epicerie salée;Pates, riz, graines et céréales;Pates;Prix bas;Penne complètes;https://lafourche.fr/products/la-fourche-penne-complete-bio-en-vrac-1kg;1;https://www.biocoop.fr/penne-complete-bio-al0143-000.html;V;https://www.biocoop.fr/penne-completes-500g-al0137-000.html;0,5;https://satoriz-comboire.bio/collections/epicerie-salee/products/re39046;0,5;https://www.greenweez.com/produit/pennes-completes-500g/1MKAL0110;0,5;PENNES COMPLETES;0,5;nov-24;0.5;;
Epicerie salée;Pates, riz, graines et céréales;Pates;Prix bas;Coquillettes blanches;https://lafourche.fr/products/lori-bio-coquillettes-blanches-bio-5kg;5;https://www.biocoop.fr/coquillette-blanche-bio-al0061-000.html;V;https://www.biocoop.fr/coquillette-blanche-bio-al0061-000.html;V;https://satoriz-comboire.bio/products/re44776;1;https://www.greenweez.com/produit/coquillettes-blanches-1kg/1PRIM0734;1;COQUILLETTES BLANCHES 500G;0,5;nov-24;;;
